nPP	Value	Rank	-3SD	-2SD	-1SD	  Med	+1SD	+2SD	+3SD	1LB	1UB	  U
  0.0100000000	             1	  0.0000009537	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000	     1
  0.0200000000	         10593	  0.0101022720	 -0.0003376007	 -0.0002298355	 -0.0001115799	  0.0000000000	  0.0001182556	  0.0002326965	  0.0003099442	 -0.0001099796	  0.0001099796	   587
  0.0300000000	         21184	  0.0202026367	 -0.0006723404	 -0.0004587173	 -0.0002279282	  0.0000000000	  0.0002260208	  0.0004730225	  0.0006990433	 -0.0002199385	  0.0002199385	  1048
  0.0400000000	         31776	  0.0303039551	 -0.0010519028	 -0.0006914139	 -0.0003414154	 -0.0000009537	  0.0003366470	  0.0006771088	  0.0011110306	 -0.0003299077	  0.0003299077	  1342
  0.0500000000	         42368	  0.0404052734	 -0.0013742447	 -0.0009174347	 -0.0004749298	  0.0000114441	  0.0004692078	  0.0009489059	  0.0014467239	 -0.0004398769	  0.0004398769	  1659
  0.0600000000	         52959	  0.0505056381	 -0.0017271042	 -0.0011863708	 -0.0006237030	 -0.0000066757	  0.0006017685	  0.0012187958	  0.0018615723	 -0.0005498357	  0.0005498357	  1576
  0.0700000000	         63551	  0.0606069565	 -0.0020370483	 -0.0013828278	 -0.0007638931	  0.0000782013	  0.0006942749	  0.0015516281	  0.0021581650	 -0.0006598050	  0.0006598050	  1687
  0.0800000000	         74143	  0.0707082748	 -0.0026826859	 -0.0017051697	 -0.0008373260	 -0.0000658035	  0.0008630753	  0.0017852783	  0.0024528503	 -0.0007697742	  0.0007697742	  1927
  0.0900000000	         84734	  0.0808086395	 -0.0028734207	 -0.0019569397	 -0.0009860992	 -0.0000057220	  0.0009784698	  0.0019550323	  0.0029201508	 -0.0008797330	  0.0008797330	  2118
  0.1000000000	         95326	  0.0909099579	 -0.0030708313	 -0.0020303726	 -0.0010013580	  0.0000181198	  0.0010623932	  0.0020532608	  0.0029850006	 -0.0009897023	  0.0009897023	  2243
  0.1100000000	        105918	  0.1010112762	 -0.0032720566	 -0.0022954941	 -0.0011425018	  0.0000066757	  0.0011377335	  0.0022811890	  0.0032606125	 -0.0010996715	  0.0010996715	  2370
  0.1200000000	        116509	  0.1111116409	 -0.0034561157	 -0.0024337769	 -0.0012159348	 -0.0000457764	  0.0012159348	  0.0024490356	  0.0038490295	 -0.0012096303	  0.0012096303	  2566
  0.1300000000	        127101	  0.1212129593	 -0.0037927628	 -0.0026264191	 -0.0013475418	 -0.0000143051	  0.0013217926	  0.0026836395	  0.0037117004	 -0.0013195996	  0.0013195996	  2646
  0.1400000000	        137693	  0.1313142776	 -0.0042324066	 -0.0028915405	 -0.0014743805	 -0.0000095367	  0.0014591217	  0.0029220581	  0.0043764114	 -0.0014295688	  0.0014295688	  2772
  0.1500000000	        148284	  0.1414146423	 -0.0042409897	 -0.0030689240	 -0.0015058517	 -0.0000457764	  0.0014677048	  0.0030813217	  0.0044250488	 -0.0015395276	  0.0015395276	  2831
