nPP	Value	Rank	-3SD	-2SD	-1SD	  Med	+1SD	+2SD	+3SD	1LB	1UB	  U
  0.0100000000	             1	  0.0000009537	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000	     1
  0.0200000000	         10593	  0.0101022720	 -0.0000753403	 -0.0000495911	 -0.0000257492	  0.0000000000	  0.0000238419	  0.0000495911	  0.0000753403	 -0.0000263951	  0.0000263951	   157
  0.0300000000	         21184	  0.0202026367	 -0.0001678467	 -0.0001134872	 -0.0000572205	  0.0000019073	  0.0000600815	  0.0001125336	  0.0001668930	 -0.0000527852	  0.0000527852	   323
  0.0400000000	         31776	  0.0303039551	 -0.0002250671	 -0.0001621246	 -0.0000753403	  0.0000019073	  0.0000839233	  0.0001668930	  0.0002470016	 -0.0000791778	  0.0000791778	   447
  0.0500000000	         42368	  0.0404052734	 -0.0003385544	 -0.0002155304	 -0.0001058578	  0.0000000000	  0.0001125336	  0.0002260208	  0.0003299713	 -0.0001055705	  0.0001055705	   575
  0.0600000000	         52959	  0.0505056381	 -0.0004119873	 -0.0002603531	 -0.0001306534	  0.0000009537	  0.0001363754	  0.0002803802	  0.0003957748	 -0.0001319606	  0.0001319606	   683
  0.0700000000	         63551	  0.0606069565	 -0.0004701614	 -0.0003118515	 -0.0001544952	  0.0000019073	  0.0001668930	  0.0003194809	  0.0005187988	 -0.0001583532	  0.0001583532	   774
  0.0800000000	         74143	  0.0707082748	 -0.0005569458	 -0.0003747940	 -0.0001840591	  0.0000038147	  0.0001811981	  0.0003738403	  0.0005359650	 -0.0001847458	  0.0001847458	   876
  0.0900000000	         84734	  0.0808086395	 -0.0006151199	 -0.0004310608	 -0.0002107620	  0.0000076294	  0.0002164841	  0.0004262924	  0.0006141663	 -0.0002111359	  0.0002111359	   980
  0.1000000000	         95326	  0.0909099579	 -0.0007505417	 -0.0004987717	 -0.0002622604	  0.0000047684	  0.0002651215	  0.0005130768	  0.0007600784	 -0.0002375285	  0.0002375285	  1117
  0.1100000000	        105918	  0.1010112762	 -0.0008420944	 -0.0005598068	 -0.0002956390	  0.0000009537	  0.0002851486	  0.0005741119	  0.0009031296	 -0.0002639212	  0.0002639212	  1214
  0.1200000000	        116509	  0.1111116409	 -0.0008878708	 -0.0006446838	 -0.0003213882	  0.0000000000	  0.0003366470	  0.0006694794	  0.0009956360	 -0.0002903113	  0.0002903113	  1336
  0.1300000000	        127101	  0.1212129593	 -0.0010671616	 -0.0006504059	 -0.0003318787	  0.0000076294	  0.0003433228	  0.0006723404	  0.0010585785	 -0.0003167039	  0.0003167039	  1376
  0.1400000000	        137693	  0.1313142776	 -0.0010280609	 -0.0007343292	 -0.0003595352	  0.0000019073	  0.0003814697	  0.0007343292	  0.0010890961	 -0.0003430965	  0.0003430965	  1470
  0.1500000000	        148284	  0.1414146423	 -0.0010976791	 -0.0007400513	 -0.0003643036	  0.0000066757	  0.0003986359	  0.0007743835	  0.0011396408	 -0.0003694866	  0.0003694866	  1471
  0.1600000000	        158876	  0.1515159607	 -0.0012865067	 -0.0008125305	 -0.0003986359	  0.0000133514	  0.0004320145	  0.0008401871	  0.0011882782	 -0.0003958792	  0.0003958792	  1611
  0.1700000000	        169468	  0.1616172791	 -0.0013608932	 -0.0008525848	 -0.0004062653	  0.0000019073	  0.0004482269	  0.0008659363	  0.0012674332	 -0.0004222719	  0.0004222719	  1606
  0.1800000000	        180059	  0.1717176437	 -0.0013246536	 -0.0008792877	 -0.0004539490	  0.0000095367	  0.0004644394	  0.0008916855	  0.0014505386	 -0.0004486620	  0.0004486620	  1663
  0.1900000000	        190651	  0.1818189621	 -0.0013713837	 -0.0009517670	 -0.0004520416	  0.0000066757	  0.0004940033	  0.0009441376	  0.0014085770	 -0.0004750546	  0.0004750546	  1717
  0.2000000000	        201243	  0.1919202805	 -0.0013380051	 -0.0009107590	 -0.0004529953	  0.0000057220	  0.0004968643	  0.0009841919	  0.0014181137	 -0.0005014472	  0.0005014472	  1677
  0.2100000000	        211834	  0.2020206451	 -0.0013475418	 -0.0009613037	 -0.0004720688	 -0.0000019073	  0.0004892349	  0.0009593964	  0.0014410019	 -0.0005278373	  0.0005278373	  1689
  0.2200000000	        222426	  0.2121219635	 -0.0013647079	 -0.0009317398	 -0.0004911423	  0.0000009537	  0.0004768372	  0.0009860992	  0.0014543533	 -0.0005542299	  0.0005542299	  1679
  0.2300000000	        233018	  0.2222232819	 -0.0014381409	 -0.0010509491	 -0.0005607605	 -0.0000009537	  0.0005512238	  0.0011014938	  0.0015983582	 -0.0005806226	  0.0005806226	  1820
  0.2400000000	        243609	  0.2323236465	 -0.0015563965	 -0.0010881424	 -0.0005626678	  0.0000085831	  0.0005712509	  0.0011091232	  0.0016765594	 -0.0006070127	  0.0006070127	  1886
  0.2500000000	        254201	  0.2424249649	 -0.0016355515	 -0.0011262894	 -0.0005970001	 -0.0000123978	  0.0005836487	  0.0011863708	  0.0017824173	 -0.0006334053	  0.0006334053	  1904
  0.2600000000	        264793	  0.2525262833	 -0.0016899109	 -0.0011730194	 -0.0006093979	 -0.0000114441	  0.0005817413	  0.0011634827	  0.0018281937	 -0.0006597979	  0.0006597979	  1927
  0.2700000000	        275384	  0.2626266479	 -0.0017824173	 -0.0011892319	 -0.0005865097	 -0.0000028610	  0.0006179810	  0.0012149811	  0.0019531250	 -0.0006861880	  0.0006861880	  1950
  0.2800000000	        285976	  0.2727279663	 -0.0017061234	 -0.0011634827	 -0.0006036758	  0.0000104904	  0.0006198883	  0.0012369156	  0.0018644333	 -0.0007125806	  0.0007125806	  1934
  0.2900000000	        296568	  0.2828292847	 -0.0017910004	 -0.0012397766	 -0.0006418228	 -0.0000076294	  0.0006093979	  0.0011978149	  0.0018558502	 -0.0007389733	  0.0007389733	  1975
  0.3000000000	        307159	  0.2929296494	 -0.0018682480	 -0.0012092590	 -0.0005989075	 -0.0000019073	  0.0006408691	  0.0012416840	  0.0017833710	 -0.0007653634	  0.0007653634	  1951
  0.3100000000	        317751	  0.3030309677	 -0.0018186569	 -0.0011978149	 -0.0006303787	 -0.0000104904	  0.0006275177	  0.0013170242	  0.0019407272	 -0.0007917560	  0.0007917560	  2003
  0.3200000000	        328343	  0.3131322861	 -0.0019865036	 -0.0012874603	 -0.0006484985	 -0.0000019073	  0.0006542206	  0.0012903214	  0.0019330978	 -0.0008181486	  0.0008181486	  2017
  0.3300000000	        338934	  0.3232326508	 -0.0019016266	 -0.0013437271	 -0.0006828308	  0.0000076294	  0.0006647110	  0.0013132095	  0.0020294189	 -0.0008445387	  0.0008445387	  2059
  0.3400000000	        349526	  0.3333339691	 -0.0019350052	 -0.0013370514	 -0.0006885529	 -0.0000104904	  0.0006818771	  0.0013570786	  0.0020389557	 -0.0008709313	  0.0008709313	  2093
  0.3500000000	        360118	  0.3434352875	 -0.0020971298	 -0.0013771057	 -0.0006637573	 -0.0000114441	  0.0007047653	  0.0013923645	  0.0020122528	 -0.0008973240	  0.0008973240	  2120
