START JOB QuotientFilterSizeProfile
Date Time: 2024/07/03 01:42:55 PST
TrueU	Size	NumTrials	FalsePositiveRate	NumHashBits
3	176	16384	9.5367431640625E-7	20
4	184	10922	2.384185791015625E-7	20
5	184	8192	4.76837158203125E-7	20
6	184	6553	4.76837158203125E-7	20
7	352	5461	2.384185791015625E-7	20
8	368	4681	9.5367431640625E-7	20
9	368	4096	2.384185791015625E-7	20
10	368	3640	2.384185791015625E-7	20
11	368	3276	7.152557373046875E-7	20
12	368	2978	4.76837158203125E-7	20
13	368	2730	7.152557373046875E-7	20
14	704	2520	2.384185791015625E-7	20
15	736	2340	7.152557373046875E-7	20
16	736	2184	7.152557373046875E-7	20
17	736	2048	2.384185791015625E-7	20
18	736	1927	2.384185791015625E-7	20
20	736	1820	7.152557373046875E-7	20
21	736	1638	9.5367431640625E-7	20
23	736	1560	2.384185791015625E-7	20
24	736	1424	7.152557373046875E-7	20
26	736	1365	7.152557373046875E-7	20
28	1408	1260	9.5367431640625E-7	20
30	1472	1170	4.76837158203125E-7	20
32	1472	1092	4.76837158203125E-7	20
34	1472	1024	0.0	20
37	1472	1024	4.76837158203125E-7	20
39	1472	1024	2.384185791015625E-7	20
42	1472	1024	4.76837158203125E-7	20
45	1472	1024	2.384185791015625E-7	20
49	1472	1024	7.152557373046875E-7	20
52	1472	1024	1.1920928955078125E-6	20
56	1472	1024	9.5367431640625E-7	20
60	2944	1024	2.384185791015625E-7	20
64	2944	1024	2.384185791015625E-7	20
69	2944	1024	0.0	20
74	2944	1024	2.384185791015625E-7	20
79	2944	1024	2.384185791015625E-7	20
84	2944	1024	4.76837158203125E-7	20
91	2944	1024	2.384185791015625E-7	20
97	2944	1024	9.5367431640625E-7	20
104	2944	1024	4.76837158203125E-7	20
111	2944	1024	7.152557373046875E-7	20
119	5888	1024	0.0	20
128	5888	1024	1.430511474609375E-6	20
137	5888	1024	4.76837158203125E-7	20
147	5888	1024	9.5367431640625E-7	20
158	5888	1024	7.152557373046875E-7	20
169	5888	1024	7.152557373046875E-7	20
181	5888	1024	0.0	20
194	5888	1024	1.430511474609375E-6	20
208	5888	1024	9.5367431640625E-7	20
223	5888	1024	7.152557373046875E-7	20
239	11776	1024	7.152557373046875E-7	20
256	11776	1024	2.384185791015625E-7	20
274	11776	1024	7.152557373046875E-7	20
294	11776	1024	7.152557373046875E-7	20
315	11776	1024	7.152557373046875E-7	20
338	11776	1024	2.384185791015625E-7	20
362	11776	1024	7.152557373046875E-7	20
388	11776	1024	9.5367431640625E-7	20
416	11776	1024	9.5367431640625E-7	20
446	11776	1024	1.1920928955078125E-6	20
478	23552	1024	4.76837158203125E-7	20
512	23552	1024	7.152557373046875E-7	20
549	23552	1024	0.0	20
588	23552	1024	2.384185791015625E-7	20
630	23552	1024	9.5367431640625E-7	20
676	23552	1024	9.5367431640625E-7	20
724	23552	1024	1.430511474609375E-6	20
776	23552	1024	7.152557373046875E-7	20
832	23552	1024	1.1920928955078125E-6	20
891	23552	1024	4.76837158203125E-7	20
955	47104	1024	4.76837158203125E-7	20
1024	47104	1024	0.0	20
1097	47104	1024	4.76837158203125E-7	20
1176	47104	1024	4.76837158203125E-7	20
1261	47104	1024	1.430511474609375E-6	20
1351	47104	1024	2.384185791015625E-7	20
1448	47104	1024	1.430511474609375E-6	20
1552	47104	1024	4.76837158203125E-7	20
1663	47104	1024	9.5367431640625E-7	20
1783	47104	1024	4.76837158203125E-7	20
1911	94208	1024	7.152557373046875E-7	20
2048	94208	1024	2.384185791015625E-7	20
2195	94208	1024	7.152557373046875E-7	20
2353	94208	1024	2.384185791015625E-7	20
2521	94208	1024	2.384185791015625E-7	20
2702	94208	1024	1.1920928955078125E-6	20
2896	94208	1024	7.152557373046875E-7	20
3104	94208	1024	4.76837158203125E-7	20
3327	94208	1024	4.76837158203125E-7	20
3566	94208	1024	4.76837158203125E-7	20
3822	188416	1024	4.76837158203125E-7	20
4096	188416	1024	4.76837158203125E-7	20
4390	188416	1024	0.0	20
4705	188416	1024	4.76837158203125E-7	20
5043	188416	1024	7.152557373046875E-7	20
5405	188416	1024	1.1920928955078125E-6	20
5793	188416	1024	7.152557373046875E-7	20
6208	188416	1024	9.5367431640625E-7	20
6654	188416	1024	9.5367431640625E-7	20
7132	188416	1024	2.384185791015625E-7	20
7643	376832	1024	0.0	20
8192	376832	1024	1.1920928955078125E-6	20
8780	376832	1024	4.76837158203125E-7	20
9410	376832	1024	4.76837158203125E-7	20
10086	376832	1024	2.384185791015625E-7	20
10809	376832	1024	2.384185791015625E-7	20
11585	376832	1024	4.76837158203125E-7	20
12417	376832	1024	1.1920928955078125E-6	20
13308	376832	1024	4.76837158203125E-7	20
14263	376832	1024	9.5367431640625E-7	20
15287	753664	1024	4.76837158203125E-7	20
16384	753664	1024	1.1920928955078125E-6	20
17560	753664	1024	2.384185791015625E-7	20
18820	753664	1024	4.76837158203125E-7	20
20171	753664	1024	1.1920928955078125E-6	20
21619	753664	1024	4.76837158203125E-7	20
23170	753664	1024	1.1920928955078125E-6	20
24834	753664	1024	7.152557373046875E-7	20
26616	753664	1024	4.76837158203125E-7	20
